Bindinger
  A-N                    arg: N

  C-f                    frem
  A-f                    frem ord
  C-e                    EOL
  C-b                    back
  A-b                    back ord
  C-a                    BOL

  C-]                    søk →
  C-A-]                  søk ←

  Tab                    complete $ ~ @ cmd / (rep)
  A-*                    insert-completions $ ~ @ cmd /
  C-A-b                  complete-into-braces
  C-A-g                  glob-complete-word * ?
  C-A-i                  dynamic-complete-history

  C-A-e                  expand ! alias ~ $
  C-A-w                  glob-expand-word * ?

  C-v                    quoted-insert (tty lnext)

  A-c                    capital
  A-l                    lowercase
  A-u                    uppercase
  C-t                    transponer
  A-t                    transponer ord

  C-d                    delete
  A-d                    kill ord
  C-k                    kill EOL
  C-h                    delete
  C-q                    kill filnavn
  C-w                    kill ord (tty werase)
  C-u                    kill BOL (tty kill)

  C-y                    yank kill-ring
  A-y                    yank-pop kill-ring (rep)

  C-l                    clear-screen
  C-j                    lf (eol nix)
  C-m                    cr (eol mac)

  C-r C-[gjm]            reverse-i-search (rep)
  C-p                    prev cmdline
  C-n                    next cmdline
  C-o                    operate-and-get-next

  !*                     prev cmdline opts/args
  !a[:gs/x/y][^:N$]      prev cmdline [sub][yank]
  ^x^y                   prev cmdline sub første x

  C-A-y                  yank prev cmdline arg 0..N
  A-.                    yank prev cmdline arg 0..N (rep)

  C-x C-u                undo
  A-r                    revert-line

  C-x (                  makro start opptak
  C-x )                  makro stopp opptak
  C-x e                  makro exec
  C-x C-e                makro edit-exec

