ulimit 
  -a                  print all user limits
  -b     invalid       socket buffer size
  -c     0             maximum size of core files created
  -d     unlimited     maximum size of process data segment
  -e     0             maximum scheduling priority (`nice')
  -f     unlimited     maximum size of files written by the shell
  -i     127011        maximum number of pending signals
  -k     invalid       maximum number of kqueues allocated for this process
  -l     16384         maximum size a process may lock into memory
  -m     unlimited     maximum resident set size
  -n     1024          maximum number of open file descriptors
  -p     8             pipe buffer size
  -q     819200        maximum number of bytes in POSIX message queues
  -r     0             maximum real-time scheduling priority
  -s     0             maximum stack size
  -t     unlimited     maximum amount of cpu time in seconds
  -u     127011        maximum number of user processes
  -v     unlimited     size of virtual memory
  -x     unlimited     maximum number of file locks
  -H     unlimited     use the `hard' resource limit
  -P     invalid       maximum number of pseudoterminals
  -S     unlimited     use the `soft' resource limit
  -T     invalid       maximum number of threads

