READLINE

  C-l                   clear-screen

  A-N                   digit-argument
  
  C-a                   beginning-of-line
  C-e                   end-of-line
  C-f                   forward-char
  C-b                   backward-char
  A-f                   forward-word
  A-b                   backward-word
  A-C-f                 shell-forward-word
  A-C-b                 shell-backward-word
  C-]                   char-search
  C-[                   char-search-backward
  C-@                   set-mark
  C-x C-x               exchange-point-and-mark
    
  C-p                   previous-history
  C-n                   next-history
  C-o                   operate-and-get-next
  C-r C-[gjm]           reverse-search-history
  C-s                   search-history
  A-C-y                 yank 1st OR 0..Nth arg
  A-.                   yank 0..Nth OR last arg
    
  ...                   self-insert
  C-d                   end-of-file
  C-v                   quoted-insert
  C-x"                  readline macro: _ → ""
  C-xp                  readline macro: _ → PATH=_...
  C-xq                  readline macro: word_ → "word"_

  A-c                   cap word
  A-l                   lowercase word
  A-u                   uppercase word
  C-t                   transpose/drag char →
  A-t                   transpose/drag word → 
    
  C-i                   menu-complete $ ~ @ cmd /
  A-C-i                 dynamic-complete-history
  A-{                   complete-into-braces {}
  A-p                   complete pattern * ? []

  A-C-e                 expand line
  Space                 expand history event (magic-space)
  A-C-p                 expand pattern
    
  C-d                   del char under cursor
  C-h                   del char bak (til venstre for) cursor
  A-d                   kill word foran (til høyre for) cursor
  C-q                   kill word bak cursor (unix-filename-rubout)
  C-w                   kill word bak cursor
  C-k                   kill line under cursor
  C-u                   kill line bak cursor
  C-y                   yank kill-ring
  A-y                   rotate-and-yank kill-ring
    
  A-r                   revert-line
  C-x C-u               undo
    
  C-g                   abort
  C-j                   accept-line (lf, nix eol)
  C-m                   accept-line (cr, mac eol)
    
  C-x (                 start macro
  C-x )                 end macro
  C-x e                 execute macro

  C-x C-e               edit-and-execute-command (vi)
