VELGE

ctrl-a                   velg alt

alt-j                    velg forekomst ↓
shift-alt-j              velg bort forekomst ↑
ctrl-alt-shift-j         velg alle forekomster

ctrl-w                   velg mer
ctrl-shift-w             velg mindre

shift-←→                 velg char
ctrl-shift-←→            velg word
shift-home|end           velg line start|end

alt-shift-insert         toggle modus

shift-↑↓                 velg line (linjemodus)
ctrl-shift-home|end      velg text start|end

shift-↑↓                 velg kolonne (kolonnemodus)
ctrl-ctrl-↑↓             velg kolonne

