NAVIGERE

alt-f1               select in ...

f11                  lag bokmerke
ctrl-f11             lag bokmerke A..Z
shift-f11            til bokmerke A..Z
ctrl-0..9            til bokmerke 0..9
ctrl-shift-0..9      lag bokmerke 0..9

ctrl-alt-7           dekl|bruk → bruk

ctrl-b               dekl → bruk, bruk → dekl
ctrl-alt-b           dekl|bruk → impl
ctrl-shift-b         navn → type

ctrl-h               hierarki klasse|supertype|subtype
ctrl-alt-h           hierarki callers|callees
ctrl-shift-h         hierarki metode

ctrl-shift-t         klasse → test, test → klasse

ctrl-u               klasse|metode → base/super

ctrl-shift-bs        til forrige edit

ctrl-alt-shift-↑     til forrige svn change
ctrl-alt-shift-↓     til neste svn change

shift-alt-←→         tilbake|frem
                           
