VELGE

shift-←→                 velg char
shift-ctrl-←→            velg word
shift-home|end           velg line start|end

shift-↑↓                 velg line|node
shift-ctrl-home|end      velg text start|end
alt-shift-insert         toggle line|column selection mode

ctrl-a                   velg alt
ctrl-w                   velg mer
ctrl-shift-w             velg mindre

alt-j                    velg forekomst ↓
shift-alt-j              velg bort forekomst ↑
ctrl-alt-shift-j         velg alle forekomster

ctrl-ctrl-↑↓             klone markør
shift-↑↓                 klone markør (column selection mode)

