PROSJEKT

  ☰                       kontekstmeny

  *                       søk (case-insensitivt, delstrenger)

  escape                  til editor
  shift-escape            skjule vindu

  alt-f1                  select in
  f4                      til src (løv)
  shift-f6                rename

  ↲                       åpne|lukk|vis src (løv)
  ctrl-↲                  toggle prosjektstruktur
  ctrl-alt-↲              tittellinjemeny

  alt-insert              ny
  ctrl-alt-shift-insert   ny scratch-fil

  delete                  slett node|utvalg
  alt-delete              safe delete
  
  home                    topp
  end                     bunn

  ↑↓                      opp|ned
  alt-↓                   velg tab
  shift-↑↓                velg noder

  →                       åpne|ned
  ←                       ut|lukk
  ctrl-shift-←→           resize vindu

  num*                    åpne nivå
  ctrl--                  lukk alle

  ctrl-c                  cp navn&node|utvalg
  ctrl-shift-c            cp path|utvalg
  ctrl-alt-shift-c        cp referanse|utvalg
  ctrl-d                  diff
  ctrl-shift-f            find
  ctrl-h                  klassehierarki
  ctrl-alt-l              formater node|utvalg
  ctrl-alt-o              optimaliser imports
  ctrl-v                  paste noder
  ctrl-x                  cut navn&node|utvalg
  ctrl-z                  undo
  ctrl-shift-z            redo

