RUN-DEBUG

ctrl-f2               stopp

f7                    step inn
shift-f7              step inn, velg metode
alt-shift-f7          step inn, glem filtere

ctrl-f8               sett stoppunkt
ctrl-shift-f8         vise stoppunkter
ctrl-alt-shift-f8     sett engangsstoppunkt

f8                    step over
shift-f8              step ut
alt-shift-f8          step over, glem stoppunkter

alt-f8                eval expr
ctrl-alt-8            eval markert expr

shift-f9              debug
ctrl-shift-f9         debug ctx
alt-shift-f9          debug cfg

f9                    forts
alt-f9                forts til markør
ctrl-alt-9            forts til markør, glem stoppunkter

shift-f10             kjør
ctrl-shift-f10        kjør ctx
alt-shift-f10         kjør cfg

alt-f10               markør til exec-punkt

